0	0
1	46
2	39
3	51
4	46
5	55
6	52
7	62
8	58
9	58
10	45
11	53
12	46
13	45
14	53
15	55
16	56
17	58
18	44
19	42
20	54
21	46
22	69
23	44
24	53
25	53
26	51
27	44
28	59
29	49
30	52
31	49
32	57
33	47
34	59
35	52
36	41
37	56
38	44
39	46
40	42
41	48
42	48
43	37
44	50
45	55
46	44
47	55
48	56
49	51
50	46
51	54
52	47
53	57
54	57
55	53
56	46
57	49
58	60
59	62
60	39
61	58
62	50
63	51
64	43
65	55
66	44
67	49
68	48
69	54
70	49
71	51
72	54
73	45
74	36
75	57
76	47
77	51
78	57
79	46
80	48
81	60
82	47
83	60
84	47
85	60
86	49
87	64
88	58
89	52
90	52
91	50
92	52
93	42
94	48
95	59
96	41
97	53
98	47
99	51
100	44
